,Test,Time,Mdn DNS (ms),Mdn SSL (ms),Avg Time To First Byte (ms),Mdn Webpage Response (ms),Mdn Render Start (ms),Avg Image Bytes,Avg Script Bytes,Avg Css Bytes,% Availability,# Runs
50,[204709] - trip.com,11/05/2017 4:00,367.0,,460.33,8794.5,990.5,751214.83,583641.42,10767.17,100.0,12
51,[204709] - trip.com,11/05/2017 6:00,271.0,,401.17,8207.5,1103.0,615787.67,553907.17,10772.42,100.0,12
52,[204709] - trip.com,11/05/2017 8:00,182.0,,362.0,9111.0,1204.0,749426.91,581541.64,10762.91,100.0,11
53,[204709] - trip.com,11/05/2017 10:00,217.0,,357.85,8683.0,1097.0,734209.15,552968.08,10768.15,100.0,13
54,[204709] - trip.com,11/05/2017 12:00,328.0,,422.92,8377.5,1148.0,723771.33,579380.5,10770.0,100.0,12
55,[204709] - trip.com,11/05/2017 14:00,285.0,,1015.33,10643.5,1001.0,745657.36,585274.91,10767.09,91.667,12
56,[204709] - trip.com,11/05/2017 16:00,318.0,,1716.36,10777.0,1250.0,762138.2,546718.2,10766.9,81.818,11
57,[204709] - trip.com,11/05/2017 18:00,259.5,,398.58,9273.5,1298.0,716861.08,562516.0,10764.92,91.667,12
58,[204709] - trip.com,11/05/2017 20:00,202.0,,336.0,9727.5,999.5,770504.58,583643.17,10770.33,91.667,12
59,[204709] - trip.com,11/05/2017 22:00,165.5,,277.9,7749.0,896.0,817858.5,581876.1,10758.4,90.0,10
60,[204709] - trip.com,11/06/2017 0:00,237.0,,540.15,9388.0,993.0,712282.77,578187.54,10766.69,100.0,13
61,[204709] - trip.com,11/06/2017 2:00,291.0,,1192.75,9498.5,1255.5,788859.92,561620.0,10773.33,83.333,12
62,[204709] - trip.com,11/06/2017 4:00,154.5,,410.17,9654.5,1098.5,828930.42,581451.83,10759.67,91.667,12
63,[204709] - trip.com,11/06/2017 6:00,367.0,,933.23,10830.0,1196.0,725885.0,549481.85,10759.69,92.30799999999999,13
64,[204709] - trip.com,11/06/2017 8:00,265.0,,423.75,11576.5,1546.5,781706.33,578624.75,10765.67,91.667,12
65,[204709] - trip.com,11/06/2017 10:00,291.0,,430.92,8392.5,1147.0,694940.75,577627.67,10769.33,100.0,12
66,[204709] - trip.com,11/06/2017 12:00,254.0,,430.1,9945.5,1259.0,799121.3,578204.0,10758.6,100.0,10
67,[204709] - trip.com,11/06/2017 14:00,234.0,,698.92,10035.0,1299.0,766479.0,578106.46,10767.46,92.30799999999999,13
68,[204709] - trip.com,11/06/2017 16:00,188.5,,292.5,9394.5,1209.5,722625.0,577985.92,10770.33,91.667,12
69,[204709] - trip.com,11/06/2017 18:00,192.5,,293.0,8851.0,948.0,729003.08,586268.58,10760.33,100.0,12
70,[204709] - trip.com,11/06/2017 20:00,340.5,,432.0,9016.0,1397.5,644321.17,578954.25,10767.33,100.0,12
71,[204709] - trip.com,11/06/2017 22:00,363.0,,1252.42,8795.0,1298.0,708488.36,543654.18,10763.18,83.333,12
72,[204709] - trip.com,11/07/2017 0:00,198.5,,300.08,8520.0,1046.0,728412.33,580662.58,10772.17,91.667,12
73,[204709] - trip.com,11/07/2017 2:00,242.5,,446.92,9606.5,1047.0,787644.08,577516.83,10763.75,91.667,12
74,[204709] - trip.com,11/07/2017 4:00,359.5,,1181.08,10019.5,1500.0,742007.36,579796.73,10766.45,91.667,12
75,[204709] - trip.com,11/07/2017 6:00,300.0,,383.54,8854.0,1098.0,707978.62,562567.92,10767.69,92.30799999999999,13
76,[204709] - trip.com,11/07/2017 8:00,206.0,,760.33,8458.0,1411.0,687366.58,582202.58,10765.75,100.0,12
77,[204709] - trip.com,11/07/2017 10:00,163.0,,372.83,9136.0,1146.5,701781.0,582176.83,10758.25,100.0,12
78,[204709] - trip.com,11/07/2017 12:00,245.0,,376.0,10169.5,1298.0,717255.17,582570.33,10761.75,100.0,12
79,[204709] - trip.com,11/07/2017 14:00,407.5,,1200.25,9274.0,997.0,762824.91,583451.55,10774.09,83.333,12
80,[204709] - trip.com,11/07/2017 16:00,316.0,,428.55,10146.0,1365.0,704847.09,541247.73,10760.45,90.90899999999999,11
81,[204709] - trip.com,11/07/2017 18:00,228.0,,681.67,9380.0,1293.5,695343.75,582902.92,10759.33,100.0,12
82,[204709] - trip.com,11/07/2017 20:00,254.0,,379.58,10820.5,1341.5,745699.33,579868.75,10765.17,100.0,12
83,[204709] - trip.com,11/07/2017 22:00,274.5,,664.25,11533.0,1250.5,804226.0,581471.58,10767.17,100.0,12
84,[204709] - trip.com,11/08/2017 0:00,270.0,,397.27,9526.0,1298.0,705336.55,591025.64,10763.36,90.90899999999999,11
85,[204709] - trip.com,11/08/2017 2:00,151.0,,275.67,9878.5,1149.0,700201.33,585401.5,10760.58,100.0,12
86,[204709] - trip.com,11/08/2017 4:00,251.0,,374.08,8518.5,995.5,709500.92,579870.5,10759.5,100.0,12
87,[204709] - trip.com,11/08/2017 6:00,157.0,,698.45,10172.0,1197.0,832663.55,580939.55,10762.18,90.90899999999999,11
88,[204709] - trip.com,11/08/2017 8:00,323.0,,665.08,9388.0,1696.0,746389.38,581440.69,10762.69,100.0,13
89,[204709] - trip.com,11/08/2017 10:00,247.5,,373.83,9530.5,1293.5,799683.58,581131.67,10769.67,91.667,12
90,[204709] - trip.com,11/08/2017 12:00,161.0,,915.08,9637.0,1370.5,693282.58,546065.33,10758.92,83.333,12
91,[204709] - trip.com,11/08/2017 14:00,386.0,,499.83,11891.5,1648.5,793665.33,563111.75,10761.08,83.333,12
92,[204709] - trip.com,11/08/2017 16:00,266.5,,383.58,9257.5,1250.0,724177.0,581606.67,10776.25,100.0,12
93,[204709] - trip.com,11/08/2017 18:00,291.5,,401.83,9127.0,1298.0,740400.67,581400.67,10763.25,91.667,12
94,[204709] - trip.com,11/08/2017 20:00,262.5,,361.08,10136.0,1396.5,785301.25,584191.83,10762.92,91.667,12
95,[204709] - trip.com,11/08/2017 22:00,208.0,,458.33,10081.0,1199.5,740579.0,558530.08,10761.83,91.667,12
96,[204709] - trip.com,11/09/2017 0:00,289.0,,378.08,8332.0,1197.0,752767.17,579873.42,10770.83,100.0,12
97,[204709] - trip.com,11/09/2017 2:00,219.5,,778.0,9650.0,1355.0,815990.33,579804.25,10760.75,91.667,12
98,[204709] - trip.com,11/09/2017 4:00,334.5,,860.42,10841.0,1398.0,790692.58,580533.17,10759.67,100.0,12
99,[204709] - trip.com,11/09/2017 6:00,331.0,,485.25,8805.0,1346.0,719958.75,546968.83,10771.0,83.333,12
100,[204709] - trip.com,11/09/2017 8:00,249.0,,590.25,9304.0,1241.0,711051.67,582329.25,10767.08,100.0,12
101,[204709] - trip.com,11/09/2017 10:00,319.0,,543.58,9994.5,1250.0,764230.58,582736.17,10774.0,91.667,12
102,[204709] - trip.com,11/09/2017 12:00,294.0,,476.17,9036.0,1298.5,716758.0,545266.67,10767.58,91.667,12
103,[204709] - trip.com,11/09/2017 14:00,508.5,,1536.0,10596.0,2194.5,758938.0,578317.58,10756.08,100.0,12
104,[204709] - trip.com,11/09/2017 16:00,265.5,,516.83,12024.0,1354.5,847002.42,581393.5,10761.42,100.0,12
105,[204709] - trip.com,11/09/2017 18:00,326.0,,823.42,9726.0,1446.0,713937.83,581451.75,10772.42,91.667,12
106,[204709] - trip.com,11/09/2017 20:00,224.5,,311.17,8159.5,1538.0,698918.58,578989.67,10768.08,100.0,12
107,[204709] - trip.com,11/09/2017 22:00,278.5,,350.58,9460.0,1197.0,732608.25,583204.58,10760.5,100.0,12
108,[204709] - trip.com,11/10/2017 0:00,316.0,,654.92,9955.0,1452.5,818853.5,582190.75,10769.83,91.667,12
109,[204709] - trip.com,11/10/2017 2:00,360.5,,610.92,9584.0,1415.5,712521.5,579682.83,10761.42,100.0,12
110,[204709] - trip.com,11/10/2017 4:00,178.0,,356.08,9228.0,1299.0,760835.08,582285.5,10762.42,91.667,12
111,[204709] - trip.com,11/10/2017 6:00,153.5,,328.08,9486.5,1252.0,804696.0,579818.33,10762.5,100.0,12
112,[204709] - trip.com,11/10/2017 8:00,262.5,,409.58,8188.5,1350.5,728197.83,582188.33,10765.33,91.667,12
113,[204709] - trip.com,11/10/2017 10:00,200.0,,1290.33,9095.5,1241.0,612702.42,548936.17,10765.42,91.667,12
114,[204709] - trip.com,11/10/2017 12:00,323.0,,495.92,9092.0,1699.5,772092.33,578352.42,10756.83,91.667,12
115,[204709] - trip.com,11/10/2017 14:00,254.0,,392.92,10249.0,1038.0,822102.83,584012.33,10762.5,100.0,12
116,[204709] - trip.com,11/10/2017 16:00,331.5,,525.17,10001.0,1297.5,797022.42,582439.83,10766.33,91.667,12
117,[204709] - trip.com,11/10/2017 18:00,348.5,,701.92,9175.5,1488.5,732820.92,581406.33,10763.09,100.0,12
118,[204709] - trip.com,11/10/2017 20:00,203.5,,309.0,9743.5,1195.0,817546.75,578626.83,10759.17,100.0,12
119,[204709] - trip.com,11/10/2017 22:00,257.0,,507.55,9508.0,1409.0,843245.27,581495.82,10759.64,90.90899999999999,11
120,[204709] - trip.com,11/11/2017 0:00,314.0,,409.62,9610.0,1493.0,731315.31,580736.77,10765.69,100.0,13
121,[204709] - trip.com,11/11/2017 2:00,247.5,,337.75,9878.0,1343.5,816340.42,543074.58,10760.75,91.667,12
122,[204709] - trip.com,11/11/2017 4:00,199.0,,393.92,8790.0,1403.0,789438.58,553793.42,10761.92,100.0,12
123,[204709] - trip.com,11/11/2017 6:00,352.5,,483.42,8406.5,1247.0,740974.67,580980.83,10769.0,91.667,12
124,[204709] - trip.com,11/11/2017 8:00,355.5,,440.92,10547.0,1295.5,714795.75,552632.0,10766.67,91.667,12
125,[204709] - trip.com,11/11/2017 10:00,391.5,,707.58,8862.0,1349.0,731693.5,578318.58,10758.33,100.0,12
126,[204709] - trip.com,11/11/2017 12:00,291.0,,418.42,9438.5,1043.5,768030.08,555432.17,10765.5,100.0,12
127,[204709] - trip.com,11/11/2017 14:00,279.5,,470.0,8825.0,1393.0,767678.33,581206.83,10767.58,91.667,12
128,[204709] - trip.com,11/11/2017 16:00,209.0,,361.0,9682.5,1247.5,709184.67,547671.25,10766.75,91.667,12
129,[204709] - trip.com,11/11/2017 18:00,207.0,,379.58,8591.5,1348.0,770863.33,578629.17,10759.08,100.0,12
130,[204709] - trip.com,11/11/2017 20:00,347.0,,498.42,10909.5,1548.0,830558.08,581090.67,10769.08,100.0,12
131,[204709] - trip.com,11/11/2017 22:00,269.5,,434.0,9682.5,1346.0,706352.5,584706.25,10762.17,100.0,12
132,[204709] - trip.com,11/12/2017 0:00,228.5,,354.5,8343.0,1647.0,676400.17,560396.08,10761.0,91.667,12
133,[204709] - trip.com,11/12/2017 2:00,275.5,,655.17,9508.5,1444.5,801132.75,551169.17,10766.5,100.0,12
134,[204709] - trip.com,11/12/2017 4:00,259.0,,377.0,8866.5,1343.5,697521.17,584025.83,10767.33,100.0,12
135,[204709] - trip.com,11/12/2017 6:00,309.5,,678.17,8966.0,1353.0,694576.67,584735.83,10764.58,91.667,12
136,[204709] - trip.com,11/12/2017 8:00,366.5,,1031.92,10053.5,1246.0,751522.67,580792.08,10759.83,100.0,12
137,[204709] - trip.com,11/12/2017 10:00,262.0,,452.17,8883.5,1248.0,797087.5,582040.5,10770.33,100.0,12
138,[204709] - trip.com,11/12/2017 12:00,301.0,,1136.17,9809.0,1425.0,712339.91,581899.64,10762.82,91.667,12
139,[204709] - trip.com,11/12/2017 14:00,157.5,,942.75,9692.5,1295.0,767944.0,542485.91,10767.18,83.333,12
140,[204709] - trip.com,11/12/2017 16:00,330.0,,539.92,9438.5,1294.5,761241.25,582009.58,10761.58,100.0,12
141,[204709] - trip.com,11/12/2017 18:00,282.0,,442.83,9161.5,1500.0,754449.08,581959.5,10769.0,83.333,12
142,[204709] - trip.com,11/12/2017 20:00,154.5,,251.08,9911.0,1147.0,647330.75,584573.75,10766.5,100.0,12
143,[204709] - trip.com,11/12/2017 22:00,272.5,,500.75,9403.0,1444.5,694757.33,581073.17,10758.83,100.0,12
144,[204709] - trip.com,11/13/2017 12:00:00 AM,301.0,,494.25,9071.5,1037.5,723359.08,553017.92,10766.08,100.0,12
145,[204709] - trip.com,11/13/2017 2:00:00 AM,248.5,,402.83,8016.5,1542.5,668743.17,581541.0,10772.67,100.0,12
146,[204709] - trip.com,11/13/2017 4:00:00 AM,183.5,,655.92,8348.0,1097.0,616528.75,579921.33,10766.67,100.0,12
147,[204709] - trip.com,11/13/2017 6:00:00 AM,274.0,,723.08,10438.0,1297.5,679683.33,581996.92,10761.67,100.0,12
148,[204709] - trip.com,11/13/2017 8:00:00 AM,323.0,,505.0,10323.0,1246.0,750436.0,586865.42,10772.25,91.667,12
149,[204709] - trip.com,11/13/2017 10:00:00 AM,301.0,,726.83,9356.0,1199.0,612681.58,583133.17,10767.58,100.0,12
150,[204709] - trip.com,11/13/2017 12:00:00 PM,349.0,,877.08,11303.0,1297.5,656332.33,550084.83,10764.92,91.667,12
151,[204709] - trip.com,11/13/2017 2:00:00 PM,198.0,,568.75,9552.0,1246.5,729618.42,582298.58,10762.5,100.0,12
152,[204709] - trip.com,11/13/2017 4:00:00 PM,257.5,,748.0,10059.5,1098.5,752519.08,578505.67,10772.58,91.667,12
153,[204709] - trip.com,11/13/2017 6:00:00 PM,356.0,,424.67,9374.5,1496.0,613110.42,579444.92,10767.58,100.0,12
154,[204709] - trip.com,11/13/2017 8:00:00 PM,200.0,,970.75,9160.0,1198.5,597079.42,547470.33,10763.92,100.0,12
155,[204709] - trip.com,11/13/2017 10:00:00 PM,215.5,,391.33,9330.0,1083.0,690492.83,545040.25,10766.0,100.0,12
156,[204709] - trip.com,11/14/2017 12:00:00 AM,244.0,,407.67,8265.0,1245.5,661129.5,584861.42,10771.42,100.0,12
157,[204709] - trip.com,11/14/2017 2:00:00 AM,267.5,,995.0,8204.0,1083.0,627312.09,581245.82,10766.73,83.333,12
158,[204709] - trip.com,11/14/2017 4:00:00 AM,270.0,,1043.42,10128.0,1147.5,635596.58,544571.58,10763.25,91.667,12
159,[204709] - trip.com,11/14/2017 6:00:00 AM,397.5,,501.92,10261.5,1448.5,732136.0,578661.33,10769.42,100.0,12
160,[204709] - trip.com,11/14/2017 8:00:00 AM,287.0,,620.0,10022.0,1199.0,664665.55,581183.64,10766.55,100.0,11
161,[204709] - trip.com,11/14/2017 10:00:00 AM,258.0,,734.92,9145.5,1337.5,606797.92,548860.25,10764.42,91.667,12
162,[204709] - trip.com,11/14/2017 12:00:00 PM,232.5,,487.75,9719.5,1002.5,773409.75,581987.33,10762.58,100.0,12
163,[204709] - trip.com,11/14/2017 2:00:00 PM,327.5,,484.92,9636.0,1245.5,704946.42,580324.75,10772.5,91.667,12
164,[204709] - trip.com,11/14/2017 4:00:00 PM,235.5,,327.92,9755.5,1150.0,651048.83,582668.08,10767.08,100.0,12
165,[204709] - trip.com,11/14/2017 6:00:00 PM,238.5,,924.92,10665.0,1348.0,673905.25,578599.0,10762.83,100.0,12
166,[204709] - trip.com,11/14/2017 8:00:00 PM,262.0,,402.75,9996.5,1088.5,694853.83,582691.83,10764.0,100.0,12
167,[204709] - trip.com,11/14/2017 10:00:00 PM,383.0,,762.73,9899.0,1503.0,658647.91,586573.55,10767.18,90.90899999999999,11
168,[204709] - trip.com,11/15/2017 12:00:00 AM,261.0,,701.5,8167.5,1197.5,589700.75,578680.67,10766.25,100.0,12
169,[204709] - trip.com,11/15/2017 2:00:00 AM,275.5,,1053.67,10013.5,1099.5,645226.42,582014.42,10761.73,100.0,12
170,[204709] - trip.com,11/15/2017 4:00:00 AM,274.0,,465.5,9430.5,1403.0,711625.17,580732.75,10767.33,100.0,12
171,[204709] - trip.com,11/15/2017 6:00:00 AM,314.0,,733.92,9830.0,1136.5,590430.33,581564.67,10763.58,100.0,12
172,[204709] - trip.com,11/15/2017 8:00:00 AM,218.5,,626.5,9631.0,1015.5,613477.17,547335.5,10769.0,91.667,12
173,[204709] - trip.com,11/15/2017 10:00:00 AM,254.5,,453.0,8534.0,1094.5,671097.17,584494.67,10759.92,100.0,12
174,[204709] - trip.com,11/15/2017 12:00:00 PM,384.0,,731.42,9446.0,1394.5,703021.5,581104.5,10764.75,91.667,12
175,[204709] - trip.com,11/15/2017 2:00:00 PM,365.0,,1088.83,10209.5,1095.5,575941.92,582975.92,10766.67,100.0,12
176,[204709] - trip.com,11/15/2017 4:00:00 PM,154.5,,905.25,9005.0,896.0,610970.42,579800.25,10760.58,100.0,12
177,[204709] - trip.com,11/15/2017 6:00:00 PM,372.0,,453.92,10551.0,1195.0,717455.0,582412.17,10764.17,100.0,12
178,[204709] - trip.com,11/15/2017 8:00:00 PM,312.0,,592.17,9181.0,1499.5,655033.0,582431.42,10766.0,100.0,12
179,[204709] - trip.com,11/15/2017 10:00:00 PM,234.5,,335.17,9015.5,1293.5,640336.08,580183.42,10765.67,100.0,12
180,[204709] - trip.com,11/16/2017 12:00:00 AM,231.0,,369.92,9299.0,997.5,742130.58,579554.67,10760.17,100.0,12
181,[204709] - trip.com,11/16/2017 2:00:00 AM,329.5,,838.75,9680.0,1248.5,763533.83,578596.33,10767.5,91.667,12
182,[204709] - trip.com,11/16/2017 4:00:00 AM,235.0,,351.5,9610.5,1053.5,605424.0,583409.83,10765.42,100.0,12
183,[204709] - trip.com,11/16/2017 6:00:00 AM,195.0,,982.0,9610.0,1399.0,672274.17,574549.92,10766.67,100.0,12
184,[204709] - trip.com,11/16/2017 8:00:00 AM,247.5,,402.08,9573.5,1196.5,712324.0,578643.83,10760.92,100.0,12
185,[204709] - trip.com,11/16/2017 10:00:00 AM,426.5,,877.83,8266.0,1294.5,661693.5,581555.25,10769.58,91.667,12
186,[204709] - trip.com,11/16/2017 12:00:00 PM,298.0,,518.42,10460.5,1313.0,610230.5,579277.67,10768.58,100.0,12
187,[204709] - trip.com,11/16/2017 2:00:00 PM,199.0,,893.75,10913.0,1247.5,636158.33,583517.42,10762.17,100.0,12
188,[204709] - trip.com,11/16/2017 4:00:00 PM,354.5,,561.83,10816.0,1447.0,704076.42,515846.25,10765.0,100.0,12
189,[204709] - trip.com,11/16/2017 6:00:00 PM,310.0,,1142.17,18378.5,1342.0,762851.08,530194.33,10766.75,66.667,12
190,[204709] - trip.com,11/16/2017 8:00:00 PM,260.0,,788.0,10348.5,1349.0,679483.08,544040.83,10766.58,91.667,12
191,[204709] - trip.com,11/16/2017 10:00:00 PM,367.5,,381.92,11419.5,1092.5,740346.67,540472.0,10757.58,83.333,12
192,[204709] - trip.com,11/17/2017 12:00:00 AM,275.5,,361.33,30094.0,1946.5,598122.33,388817.4,10762.75,25.0,12
193,[204709] - trip.com,11/17/2017 2:00:00 AM,283.0,,534.42,10669.5,1099.0,625827.42,539529.33,10763.73,83.333,12
194,[204709] - trip.com,11/17/2017 4:00:00 AM,245.0,,372.33,8778.0,1048.0,731788.58,583130.75,10762.0,100.0,12
195,[204709] - trip.com,11/17/2017 6:00:00 AM,421.0,,896.67,10416.5,1282.0,810345.25,584047.25,10760.25,100.0,12
196,[204709] - trip.com,11/17/2017 8:00:00 AM,417.5,,563.25,8119.0,1244.5,674640.67,596081.82,10772.42,91.667,12
197,[204709] - trip.com,11/17/2017 10:00:00 AM,158.0,,645.42,7752.0,1050.0,659482.0,581723.67,10765.83,100.0,12
198,[204709] - trip.com,11/17/2017 12:00:00 PM,196.0,,1376.58,8123.0,1197.0,672452.73,583328.45,10761.55,91.667,12
199,[204709] - trip.com,11/17/2017 2:00:00 PM,262.5,,391.58,8846.0,1100.5,686751.25,547723.83,10763.67,91.667,12
200,[204709] - trip.com,11/17/2017 4:00:00 PM,292.5,,385.5,9666.5,1102.5,734407.5,581846.17,10773.33,83.333,12
201,[204709] - trip.com,11/17/2017 6:00:00 PM,214.0,,289.83,9701.5,1058.5,698675.92,584389.83,10764.25,100.0,12
202,[204709] - trip.com,11/17/2017 8:00:00 PM,161.5,,358.92,9381.5,1049.0,737013.5,554295.5,10762.83,91.667,12
203,[204709] - trip.com,11/17/2017 10:00:00 PM,445.0,,868.55,9282.0,1491.0,681071.64,563459.45,10765.82,90.90899999999999,11
204,[204709] - trip.com,11/18/2017 12:00:00 AM,276.0,,419.85,9631.0,1493.0,696000.77,580139.15,10766.62,100.0,13
205,[204709] - trip.com,11/18/2017 2:00:00 AM,346.0,,658.75,8983.0,1345.5,692074.58,547863.33,10764.33,91.667,12
206,[204709] - trip.com,11/18/2017 4:00:00 AM,208.5,,330.25,8397.5,999.0,747258.08,584963.75,10760.58,100.0,12
207,[204709] - trip.com,11/18/2017 6:00:00 AM,376.5,,429.67,8762.5,1393.0,649306.5,545414.67,10771.33,91.667,12
208,[204709] - trip.com,11/18/2017 8:00:00 AM,280.5,,370.08,7829.0,1194.5,671643.92,580551.42,10767.17,100.0,12
209,[204709] - trip.com,11/18/2017 10:00:00 AM,229.5,,777.0,7535.5,1004.0,694659.92,580373.83,10761.75,100.0,12
210,[204709] - trip.com,11/18/2017 12:00:00 PM,319.0,,477.67,9912.5,1047.5,771682.5,593946.17,10766.17,100.0,12
211,[204709] - trip.com,11/18/2017 2:00:00 PM,397.0,,463.5,9031.0,1299.5,671223.5,580626.25,10769.92,91.667,12
